id,defects
101763,0.24530308
101764,0.1982587
101765,0.6010374
101766,0.4319689
101767,0.13761461
101768,0.46745265
101769,0.115287654
101770,0.5986214
101771,0.39389214
101772,0.06666141
101773,0.47674942
101774,0.69608146
101775,0.16454777
101776,0.63189286
101777,0.21868372
101778,0.34783912
101779,0.7396434
101780,0.19832689
101781,0.590241
101782,0.13126615
101783,0.050291125
101784,0.068313055
101785,0.0463968
101786,0.2601141
101787,0.0662895
101788,0.44433945
101789,0.11745721
101790,0.11476439
101791,0.04725506
101792,0.1337299
101793,0.15648004
101794,0.21500956
101795,0.06319293
101796,0.0763876
101797,0.052329175
101798,0.27223355
101799,0.58104134
101800,0.14060399
101801,0.10187076
101802,0.15197773
101803,0.43290544
101804,0.10361269
101805,0.049544625
101806,0.29756007
101807,0.622518
101808,0.11664339
101809,0.052067224
101810,0.16051385
101811,0.06678944
101812,0.11847505
101813,0.13166577
101814,0.07720972
101815,0.2851113
101816,0.065869756
101817,0.2855412
101818,0.12257627
101819,0.26459774
101820,0.14252564
101821,0.049051657
101822,0.3487887
101823,0.14288956
101824,0.2832547
101825,0.09903194
101826,0.1358317
101827,0.047949404
101828,0.108317524
101829,0.11788414
101830,0.08208202
101831,0.20037661
101832,0.4622186
101833,0.64092535
101834,0.090229295
101835,0.14647377
101836,0.37627438
101837,0.1196518
101838,0.31983387
101839,0.5815054
101840,0.0705984
101841,0.74877715
101842,0.17799
101843,0.13120039
101844,0.068609655
101845,0.63333523
101846,0.094545424
101847,0.13070928
101848,0.21039085
101849,0.1745925
101850,0.11569165
101851,0.046081033
101852,0.12094221
101853,0.66253126
101854,0.5891408
101855,0.17601268
101856,0.6571105
101857,0.080000736
101858,0.046789132
101859,0.060915675
101860,0.54318506
101861,0.6081168
101862,0.116890654
101863,0.25911593
101864,0.16465111
101865,0.05237173
101866,0.077166855
101867,0.39647195
101868,0.06085243
101869,0.15111043
101870,0.098804325
101871,0.5497255
101872,0.08292916
101873,0.05846665
101874,0.23729898
101875,0.32668364
101876,0.5666317
101877,0.054414097
101878,0.045112427
101879,0.04648978
101880,0.07605856
101881,0.16670075
101882,0.16327958
101883,0.66276455
101884,0.3436825
101885,0.07080784
101886,0.23055215
101887,0.108198084
101888,0.115235955
101889,0.422955
101890,0.046842583
101891,0.39288795
101892,0.1702049
101893,0.0986782
101894,0.061680224
101895,0.05010264
101896,0.1131831
101897,0.58078486
101898,0.520918
101899,0.5309828
101900,0.09636287
101901,0.13620247
101902,0.066715755
101903,0.11796588
101904,0.18276677
101905,0.62619686
101906,0.04988727
101907,0.06673569
101908,0.0453352
101909,0.115557775
101910,0.17033453
101911,0.1739224
101912,0.049757674
101913,0.04942902
101914,0.07168004
101915,0.053172924
101916,0.71746105
101917,0.061539747
101918,0.12267568
101919,0.10266864
101920,0.056093793
101921,0.09282516
101922,0.23398638
101923,0.19587798
101924,0.24423817
101925,0.09106345
101926,0.5591754
101927,0.14882508
101928,0.11719213
101929,0.19019885
101930,0.10435506
101931,0.3358441
101932,0.0772071
101933,0.6987911
101934,0.14574786
101935,0.1427466
101936,0.09652848
101937,0.7418831
101938,0.5330739
101939,0.19393009
101940,0.22810934
101941,0.05260025
101942,0.08774591
101943,0.2959655
101944,0.16280308
101945,0.091990754
101946,0.059118856
101947,0.12913685
101948,0.16430491
101949,0.1505461
101950,0.6669875
101951,0.79091567
101952,0.10412044
101953,0.19268095
101954,0.097624354
101955,0.6455317
101956,0.32518616
101957,0.06293815
101958,0.602814
101959,0.22841822
101960,0.605584
101961,0.27632907
101962,0.5401834
101963,0.24954908
101964,0.14994495
101965,0.23864186
101966,0.26028615
101967,0.19143066
101968,0.052981272
101969,0.49854454
101970,0.71148413
101971,0.10253177
101972,0.19920366
101973,0.1696545
101974,0.27980968
101975,0.12673794
101976,0.08778708
101977,0.11729298
101978,0.1000473
101979,0.12918033
101980,0.21606793
101981,0.064307556
101982,0.04742974
101983,0.21649802
101984,0.10385087
101985,0.16942999
101986,0.09215247
101987,0.19419512
101988,0.66585976
101989,0.06946066
101990,0.35649234
101991,0.39387307
101992,0.06253896
101993,0.35116953
101994,0.14672534
101995,0.09531479
101996,0.34027064
101997,0.23838072
101998,0.10013445
101999,0.12543999
102000,0.24518952
102001,0.34909478
102002,0.68908465
102003,0.12129757
102004,0.113615654
102005,0.31612226
102006,0.1787812
102007,0.63106877
102008,0.051396154
102009,0.20914845
102010,0.053129595
102011,0.32061645
102012,0.15839007
102013,0.06608984
102014,0.08091458
102015,0.33337346
102016,0.13184457
102017,0.1367353
102018,0.7789577
102019,0.054785714
102020,0.74687046
102021,0.56884474
102022,0.11541589
102023,0.2290507
102024,0.08142555
102025,0.121100016
102026,0.12720694
102027,0.052154396
102028,0.047972836
102029,0.05209186
102030,0.25488165
102031,0.11299677
102032,0.053931966
102033,0.12962647
102034,0.1538317
102035,0.08977563
102036,0.25298485
102037,0.30715504
102038,0.5161319
102039,0.07863017
102040,0.45359397
102041,0.4139745
102042,0.13520278
102043,0.06498088
102044,0.35613453
102045,0.37767577
102046,0.17023812
102047,0.52260816
102048,0.17276946
102049,0.071921326
102050,0.46124187
102051,0.2224285
102052,0.059134144
102053,0.37497744
102054,0.08325696
102055,0.28955406
102056,0.09890975
102057,0.050114483
102058,0.065355755
102059,0.26801893
102060,0.4485103
102061,0.32669052
102062,0.12884808
102063,0.20987429
102064,0.6705154
102065,0.057220064
102066,0.04750643
102067,0.062017307
102068,0.20259649
102069,0.094016336
102070,0.052717
102071,0.050894156
102072,0.35303277
102073,0.09987694
102074,0.18360259
102075,0.10979225
102076,0.11443119
102077,0.20125715
102078,0.046958506
102079,0.19169387
102080,0.09448258
102081,0.09425835
102082,0.7931252
102083,0.117479794
102084,0.08212637
102085,0.105064616
102086,0.30049744
102087,0.5534844
102088,0.1590915
102089,0.08677247
102090,0.6063647
102091,0.06615799
102092,0.047921054
102093,0.24207057
102094,0.19301027
102095,0.39509052
102096,0.12161255
102097,0.5042864
102098,0.06403035
102099,0.046993494
102100,0.13785009
102101,0.3286931
102102,0.06896371
102103,0.07413808
102104,0.14993347
102105,0.45750257
102106,0.14608932
102107,0.12368413
102108,0.35444167
102109,0.3881748
102110,0.14920934
102111,0.65773565
102112,0.5710295
102113,0.13180543
102114,0.24690564
102115,0.17430937
102116,0.33353028
102117,0.11474836
102118,0.0517754
102119,0.5079494
102120,0.36725217
102121,0.46269527
102122,0.12221636
102123,0.086456664
102124,0.082182564
102125,0.60273665
102126,0.100821294
102127,0.17180185
102128,0.17988306
102129,0.05658441
102130,0.1485212
102131,0.1069048
102132,0.042739954
102133,0.14133637
102134,0.1643204
102135,0.10502697
102136,0.09958872
102137,0.1634961
102138,0.055373307
102139,0.051595766
102140,0.25666407
102141,0.06486418
102142,0.0845169
102143,0.32344654
102144,0.35139996
102145,0.1692219
102146,0.07986274
102147,0.12753819
102148,0.13661957
102149,0.11763241
102150,0.602286
102151,0.1094125
102152,0.14126432
102153,0.6770809
102154,0.3413566
102155,0.06744932
102156,0.08297297
102157,0.09913523
102158,0.7395091
102159,0.5447211
102160,0.19753999
102161,0.14027664
102162,0.10356974
102163,0.29310507
102164,0.0810771
102165,0.11154543
102166,0.05817355
102167,0.20645304
102168,0.5035077
102169,0.07612538
102170,0.65314204
102171,0.18728575
102172,0.19643214
102173,0.08665095
102174,0.06444493
102175,0.41560537
102176,0.05835007
102177,0.26212233
102178,0.5243364
102179,0.117865615
102180,0.1582048
102181,0.046014022
102182,0.33731654
102183,0.1208157
102184,0.21434313
102185,0.05167731
102186,0.7769344
102187,0.17878185
102188,0.088768534
102189,0.17382461
102190,0.2111813
102191,0.048911534
102192,0.06475489
102193,0.15801232
102194,0.4162561
102195,0.06523456
102196,0.60624707
102197,0.18366364
102198,0.38860855
102199,0.67867535
102200,0.22124608
102201,0.14677548
102202,0.1994518
102203,0.26663506
102204,0.049831316
102205,0.64111197
102206,0.26241577
102207,0.16576444
102208,0.08891461
102209,0.051905576
102210,0.7823133
102211,0.080000736
102212,0.19218539
102213,0.08497437
102214,0.63501364
102215,0.14723597
102216,0.25729984
102217,0.26946533
102218,0.22219397
102219,0.103010245
102220,0.11235625
102221,0.24351253
102222,0.09953255
102223,0.62480134
102224,0.33776814
102225,0.049238607
102226,0.056604944
102227,0.3116159
102228,0.115783125
102229,0.21396936
102230,0.57947737
102231,0.6775807
102232,0.052059047
102233,0.19033912
102234,0.0648576
102235,0.61800766
102236,0.05580575
102237,0.21178322
102238,0.061402507
102239,0.055874396
102240,0.08376092
102241,0.08266478
102242,0.21183184
102243,0.3206283
102244,0.30428448
102245,0.11527191
102246,0.3134886
102247,0.124524266
102248,0.11829276
102249,0.38335598
102250,0.09272737
102251,0.06541753
102252,0.19957486
102253,0.74709
102254,0.46966544
102255,0.07652913
102256,0.13713838
102257,0.07068744
102258,0.16011806
102259,0.30668962
102260,0.12189844
102261,0.39797112
102262,0.09595345
102263,0.2967643
102264,0.4721043
102265,0.28878912
102266,0.7048119
102267,0.096417025
102268,0.1059941
102269,0.08474215
102270,0.07409178
102271,0.048945725
102272,0.61696947
102273,0.30470905
102274,0.13456394
102275,0.109017
102276,0.05369295
102277,0.11112894
102278,0.5207192
102279,0.11732836
102280,0.20967683
102281,0.11020805
102282,0.20379195
102283,0.077461496
102284,0.16120884
102285,0.44280764
102286,0.7769825
102287,0.28814617
102288,0.32764927
102289,0.11828069
102290,0.18749109
102291,0.12608646
102292,0.057864685
102293,0.10568291
102294,0.115067415
102295,0.1590494
102296,0.3541949
102297,0.39928663
102298,0.08346953
102299,0.053926807
102300,0.23136504
102301,0.25456578
102302,0.10669669
102303,0.049609132
102304,0.3801279
102305,0.11022153
102306,0.073270045
102307,0.13746898
102308,0.06344657
102309,0.08137857
102310,0.08244539
102311,0.62685937
102312,0.053734716
102313,0.09813236
102314,0.06258499
102315,0.17099762
102316,0.10722009
102317,0.18788543
102318,0.5964539
102319,0.15062541
102320,0.050915238
102321,0.08314186
102322,0.21148337
102323,0.19250536
102324,0.18191877
102325,0.115615405
102326,0.36498734
102327,0.15769032
102328,0.15901731
102329,0.16881707
102330,0.14030187
102331,0.261896
102332,0.052454136
102333,0.29130653
102334,0.09359128
102335,0.16044421
102336,0.18416333
102337,0.045198087
102338,0.08457743
102339,0.2939474
102340,0.14490864
102341,0.40589368
102342,0.19052763
102343,0.13383593
102344,0.18513273
102345,0.27093184
102346,0.2542613
102347,0.17556895
102348,0.26270735
102349,0.10022428
102350,0.13231567
102351,0.40633932
102352,0.5557505
102353,0.056820545
102354,0.05453093
102355,0.07998807
102356,0.21291028
102357,0.056648288
102358,0.10635659
102359,0.69040555
102360,0.15164532
102361,0.5228617
